State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
Arkansas,2008,103152,167771,61475,76191,2152466, 4.79 , 2.85 , 7.79 , 3.53 ,36660,61035,24076,30739,310125,11.82,7.76,19.68,9.91
California,2008,2049880,2582710,1000910,1174580,27393969, 7.48 , 3.65 , 9.42 , 4.28 ,583928,741715,272813,323313,1887844,30.93,14.45,39.28,17.12
Colorado,2008,196008,249026,60687,83961,3732690, 5.25 , 1.62 , 6.67 , 2.24 ,27314,35669,11656,16241,158237,17.26,7.36,22.54,10.26
Connecticut,2008,205199,258786,53148,73809,2689965, 7.62 , 1.97 , 9.62 , 2.74 ,68870,87267,23377,32273,269114,25.59,8.68,32.42,11.99
Delaware,2008,46268,58955,13641,20716,666966, 6.93 , 2.04 , 8.83 , 3.10 ,22144,28893,7124,11444,136049,16.27,5.23,21.23,8.41
Florida,2008,1721822,2018953,289848,392236,14324954, 12.01 , 2.02 , 14.09 , 2.73 ,604222,711735,137680,188645,2105949,28.69,6.53,33.79,8.95
Georgia,2008,764774,996471,172723,225442,7143266, 10.70 , 2.41 , 13.94 , 3.15 ,398083,518598,98345,131013,2063395,19.29,4.76,25.13,6.34
Hawaii,2008,49864,68848,12719,18674,1003594, 4.96 , 1.26 , 6.86 , 1.86 ,2569,3499,579,825,22975,11.18,2.52,15.23,3.59
Idaho,2008,78331,103020,24108,31398,1110080, 7.05 , 2.17 , 9.28 , 2.82 ,1341,1800,471,642,8013,16.74,5.88,22.46,8.01
Illinois,2008,561020,696693,242830,288304,9720800, 5.77 , 2.49 , 7.16 , 2.96 ,254561,320238,157679,184430,1343874,18.94,11.73,23.82,13.72
Indiana,2008,427992,523998,107060,135382,4793040, 8.92 , 2.23 , 10.93 , 2.82 ,126597,157660,41735,52600,386435,32.76,10.80,40.79,13.61
