State ,Year,SSI_recip
Ohio,1983,115300
Ohio,1984,122500
Ohio,1985,127700
Ohio,1986,133900
Ohio,1987,139400
Ohio,1988,142000
Ohio,1989,147100
Ohio,1990,155736
Ohio,1991,169089
Ohio,1992,190349
Ohio,1993,214038
Ohio,1994,235880
Ohio,1995,248195
Ohio,1996,254184
Ohio,1997,247018
Ohio,1998,248540
Ohio,1999,242733
Ohio,2000,239911
Ohio,2001,241763
Ohio,2002,241476
Ohio,2003,243584
Ohio,2004,245401
Ohio,2005,250283
Ohio,2006,254012
Ohio,2007,257874
Ohio,2008,265273
Ohio,2009,273881
Ohio,2010,285570
Oklahoma,1980,67300
Oklahoma,1981,53400
Oklahoma,1982,59400
Oklahoma,1983,59100
Oklahoma,1984,59200
Oklahoma,1985,59200
Oklahoma,1986,59200
Oklahoma,1987,59200
Oklahoma,1988,58800
Oklahoma,1989,59000
Oklahoma,1990,60430
Oklahoma,1991,62382
Oklahoma,1992,66680
Oklahoma,1993,69954
Oklahoma,1994,72348
Oklahoma,1995,74281
Oklahoma,1996,75160
Oklahoma,1997,73791
Oklahoma,1998,73365
Oklahoma,1999,72562
Oklahoma,2000,72140
Oklahoma,2001,72756
Oklahoma,2002,73630
Oklahoma,2003,75202
Oklahoma,2004,77100
Oklahoma,2005,79564
Oklahoma,2006,82386
Oklahoma,2007,85102
Oklahoma,2008,87829
Oklahoma,2009,90745
Oklahoma,2010,93721
Oregon,1980,22200
Oregon,1981,22100
Oregon,1982,21800
Oregon,1983,23100
Oregon,1984,24200
Oregon,1985,25300
Oregon,1986,26800
Oregon,1987,27600
Oregon,1988,28500
Oregon,1989,29700
Oregon,1990,31522
Oregon,1991,34390
Oregon,1992,38692
Oregon,1993,42571
Oregon,1994,45404
Oregon,1995,47124
Oregon,1996,48481
Oregon,1997,47943
Oregon,1998,49046
Oregon,1999,50515
Oregon,2000,51936
Oregon,2001,54099
Oregon,2002,56218
Oregon,2003,57436
Oregon,2004,58842
Oregon,2005,60557
Oregon,2006,62280
Oregon,2007,64031
Oregon,2008,66354
Oregon,2009,70404
Oregon,2010,74751
Pennsylvania,1980,163200
Pennsylvania,1981,158200
Pennsylvania,1982,152000
Pennsylvania,1983,154000
Pennsylvania,1984,159100
Pennsylvania,1985,163900
Pennsylvania,1986,170200
Pennsylvania,1987,173100
Pennsylvania,1988,176400
Pennsylvania,1989,180600
Pennsylvania,1990,190470
Pennsylvania,1991,202008
Pennsylvania,1992,219808
Pennsylvania,1993,236354
Pennsylvania,1994,252177
Pennsylvania,1995,264564
Pennsylvania,1996,270221
Pennsylvania,1997,269441
Pennsylvania,1998,275662
Pennsylvania,1999,278196
Pennsylvania,2000,283969
Pennsylvania,2001,294467
Pennsylvania,2002,301981
Pennsylvania,2003,310617
Pennsylvania,2004,316917
Pennsylvania,2005,317462
Pennsylvania,2006,325822
Pennsylvania,2007,333531
Pennsylvania,2008,339697
Pennsylvania,2009,346951
Pennsylvania,2010,357939
Rhode Island,1980,15000
Rhode Island,1981,14800
Rhode Island,1982,14300
Rhode Island,1983,14500
Rhode Island,1984,15300
Rhode Island,1985,15700
Rhode Island,1986,16100
Rhode Island,1987,18300
Rhode Island,1988,16400
Rhode Island,1989,16800
Rhode Island,1990,17420
Rhode Island,1991,18374
Rhode Island,1992,19714
Rhode Island,1993,21309
Rhode Island,1994,22823
Rhode Island,1995,24245
Rhode Island,1996,25283
Rhode Island,1997,25316
Rhode Island,1998,26158
Rhode Island,1999,26897
Rhode Island,2000,27778
Rhode Island,2001,28623
Rhode Island,2002,28747
Rhode Island,2003,29196
Rhode Island,2004,29703
Rhode Island,2005,30194
Rhode Island,2006,30720
Rhode Island,2007,31101
Rhode Island,2008,31548
Rhode Island,2009,31582
Rhode Island,2010,32759
South Carolina,1980,83400
South Carolina,1981,81900
South Carolina,1982,79500
South Carolina,1983,81100
South Carolina,1984,84300
South Carolina,1985,85900
South Carolina,1986,87500
South Carolina,1987,88000
South Carolina,1988,88100
South Carolina,1989,88700
South Carolina,1990,90334
South Carolina,1991,93073
South Carolina,1992,98668
