State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
Oklahoma,2009," 219,367 "," 272,730 "," 73,418 "," 99,815 "," 2,765,891 ", 7.93 , 2.65 , 9.86 , 3.60 ," 51,160 "," 65,785 "," 21,016 "," 29,176 "," 190,702 ", 26.82 , 11.02 , 34.49 , 15.29 
Oregon,2009," 132,828 "," 196,967 "," 48,516 "," 62,919 "," 2,952,847 ", 4.49 , 1.64 , 6.67 , 2.13 ," 9,282 "," 14,314 "," 5,046 "," 6,448 "," 48,602 ", 19.09 , 10.38 , 29.45 , 13.26 
Pennsylvania,2009," 296,128 "," 487,125 "," 112,565 "," 163,994 "," 9,831,906 ", 3.01 , 1.14 , 4.95 , 1.66 ," 77,307 "," 151,462 "," 39,681 "," 65,122 "," 953,511 ", 8.10 , 4.16 , 15.88 , 6.82 
Rhode Island,2009," 50,479 "," 72,959 "," 11,484 "," 15,158 "," 826,446 ", 6.10 , 1.38 , 8.82 , 1.83 ," 11,497 "," 16,386 "," 2,910 "," 3,973 "," 44,078 ", 26.08 , 6.60 , 37.17 , 9.01 
South Carolina,2009," 173,842 "," 225,192 "," 84,892 "," 109,180 "," 3,480,828 ", 4.99 , 2.43 , 6.46 , 3.13 ," 94,995 "," 125,350 "," 48,702 "," 64,564 "," 932,620 ", 10.18 , 5.22 , 13.44 , 6.92 
South Dakota,2009," 42,048 "," 52,664 "," 17,590 "," 21,024 "," 613,454 ", 6.85 , 2.86 , 8.58 , 3.42 , 702 ," 1,109 ", 658 , 869 ," 5,321 ", 13.20 , 12.37 , 20.84 , 16.33 
Tennessee,2009," 263,301 "," 354,070 "," 105,497 "," 132,462 "," 4,805,406 ", 5.47 , 2.19 , 7.36 , 2.75 ," 114,195 "," 152,098 "," 49,513 "," 62,489 "," 743,724 ", 15.35 , 6.65 , 20.45 , 8.40 
Texas,2009," 1,344,385 "," 1,877,136 "," 481,691 "," 652,940 "," 17,893,823 ", 7.51 , 2.69 , 10.49 , 3.64 ," 376,536 "," 534,762 "," 174,017 "," 236,648 "," 2,046,414 ", 18.39 , 8.50 , 26.13 , 11.56 
Utah,2009," 61,613 "," 80,598 "," 26,545 "," 33,078 "," 1,914,665 ", 3.21 , 1.38 , 4.20 , 1.72 ," 2,793 "," 3,817 "," 1,482 "," 1,949 "," 16,521 ", 16.91 , 8.97 , 23.10 , 11.79 
Vermont,2009," 29,492 "," 35,164 "," 14,269 "," 16,489 "," 495,158 ", 5.95 , 2.88 , 7.10 , 3.33 , 622 , 997 , 425 , 650 ," 2,997 ", 20.76 , 14.18 , 33.27 , 21.71 
Virginia,2009," 336,239 "," 437,393 "," 105,560 "," 143,652 "," 6,037,742 ", 5.56 , 1.74 , 7.24 , 2.37 ," 185,194 "," 240,068 "," 56,044 "," 79,658 "," 1,142,537 ", 16.20 , 4.90 , 21.01 , 6.97 
Washington,2009," 406,270 "," 445,606 "," 94,311 "," 112,544 "," 5,093,008 ", 7.97 , 1.85 , 8.74 , 2.20 ," 55,817 "," 62,531 "," 17,964 "," 21,499 "," 164,928 ", 33.84 , 10.89 , 37.91 , 13.03 
West Virginia,2009," 29,829 "," 44,944 "," 15,402 "," 21,769 "," 1,435,005 ", 2.07 , 1.07 , 3.13 , 1.51 ," 3,318 "," 4,941 "," 1,976 "," 2,813 "," 42,570 ", 7.79 , 4.64 , 11.60 , 6.60 
Wisconsin,2009," 162,089 "," 228,979 "," 63,923 "," 87,076 "," 4,348,606 ", 3.72 , 1.46 , 5.26 , 2.00 ," 46,109 "," 69,014 "," 24,784 "," 34,746 "," 228,220 ", 20.20 , 10.86 , 30.24 , 15.22 
Wyoming,2009," 19,914 "," 25,402 "," 6,513 "," 8,588 "," 414,569 ", 4.80 , 1.57 , 6.12 , 2.07 , 609 , 796 , 261 , 348 ," 4,356 ", 13.98 , 6.00 , 18.28 , 7.99 
Alabama,2008," 174,444 "," 258,646 "," 85,009 "," 115,517 "," 3,540,690 ", 4.92 , 2.40 , 7.30 , 3.26 ," 90,746 "," 137,669 "," 45,027 "," 63,367 "," 880,707 ", 10.30 , 5.11 , 15.63 , 7.19 
Alaska,2008," 33,446 "," 46,907 "," 20,385 "," 25,399 "," 505,534 ", 6.61 , 4.03 , 9.27 , 5.02 ," 3,147 "," 4,456 "," 2,205 "," 2,705 "," 18,047 ", 17.44 , 12.21 , 24.69 , 14.98 
Arizona,2008," 287,895 "," 388,373 "," 81,858 "," 121,447 "," 4,792,500 ", 6.00 , 1.70 , 8.10 , 2.53 ," 32,564 "," 43,687 "," 13,143 "," 18,378 "," 162,187 ", 20.07 , 8.10 , 26.93 , 11.33 
Arkansas,2008," 103,178 "," 167,797 "," 61,475 "," 76,191 "," 2,152,466 ", 4.79 , 2.85 , 7.79 , 3.53 ," 36,660 "," 61,035 "," 24,076 "," 30,739 "," 310,125 ", 11.82 , 7.76 , 19.68 , 9.91 
California,2008," 2,049,880 "," 2,582,710 "," 1,000,910 "," 1,174,580 "," 27,393,969 ", 7.48 , 3.65 , 9.42 , 4.28 ," 583,928 "," 741,127 "," 272,813 "," 323,313 "," 1,672,923 ", 34.90 , 16.30 , 44.30 , 19.32 
